,id,tweet,class
0,4063561008,"You gotta be kidding me.. everyone around me is sick, I've joked about getting sick and laughed at flu shots... I'm hurting right now.. Blah",0
1,4063912301,Getting my flu shot then babysitting.,1
2,4064279613,My arm is getting sore from that damn flu shot... grrrr,1
3,4066630902,seems like these bird profile pics are spreadin like swine flu. hope i dont get infected next :(,1
4,4066949107,I think i'm in the process of getting the flu...,0
5,4067826605,"@mmWine matty, you have the bird flu! Depends, what cha got going on?!?",0
6,1909910704,Realizing how stoked I really am to go to Norway on the 18th. Really stoked.  do they still have bird flu over there?,1
7,1910816404,,1
8,1912823102,,0
9,4068458402,Damn everyone on twitter is catching the bird flu! Whats up with all these avatar changes!???,1
10,4068486611,I have the bird flu!  I don't like it!,0
11,4068521306,,0
12,4068667305,@prettiBrwnskin lol yeh just found i got da bird flu,0
13,2017992501,"I'm worried about the Swine Flu, but anyways, if my school close, i'll be happy.",1
14,2019518502,,0
15,4068821514,,0
16,4069009308,"Soo wat is dis damn bird as my pic? ""I got bird flu shawty its a terrible sickness...""",0
17,4069020705,,0
18,4069414303,@kidmac13 haha you have the bird flu too,0
19,4069600809,RT @Marcus32Johnson: HAHAHHA Yall Got The Bird Flu!!!!,0
20,2023192903,Finally getting over the flu that had me down for over a week!,0
21,2023366402,"getting over the flu....geez, i hope it's not the swine flu",0
22,3677133609,,0
23,4069859712,"@COLD_CASH u got the Bird Flu pic....cusin, step ur virus game up...",1
24,4069926002,"@lissa_Michelle try hanging your head out the window to breath fresh air LOL! Try not to worry too much, swine flu is not a death sentence.",0
25,4070364800,"""Babe, there are worse things to worry about, like swine flu."" @whiskeychick ""But..I dont have swine flu, ive got a crooked tv""",1
26,4070662607,,1
27,4071254101,,0
28,4073488308,,0
29,4074437808,,0
30,4074628300,my brother has swine flu he started getting sick the other day and i was with him... now i'm getting sick,0
31,4076421503,"RT @CorporateAntics:Work,I know you're afraid of a flu outbreak but I'm 26 years old. Enough with the signs telling me how to wash my hands!",1
32,4077771800,At work .... a bit under the weather .... im sooo getting a flu shot this year... Pilots love to talk... and my throat is KILLING me... =o/,0
33,4077869514,Not feeling so well today.  Might be getting the swine flu - piggly wiggly.  Need to wash my hands more.,0
34,4078195804,"I'm at home with a sick child. We were afraid it was the flu, but it turns out it was upper resp infection. Not good, but NOT flu!",1
35,4078511606,"Getting home, gargle and wash your hand. They are the best way to prevent flu.",1
36,4078868500,@AngieLedbetter Hey Cajun Gal! I see the Hot Peppers cured your bird flu this morning! Yay!,0
37,4079131604,,1
38,4080154206,"has the flu. Worst seems over. Now at home, resting. Not thinking about the bike!",0
39,4080253503,,0
40,4080333506,"so fucking sick, in bed all weekend getting rid of this flu, someone come bring me soup.",0
41,4080498513,"Took a vacation day today, but recouperating instead. Dad thinks it's swine flu. I think it's working too hard and not getting enough rest.",0
42,4081040412,RT @johncpiercy: What is the difference between Bird Flu and Swine Flu?For bird flu you need tweetment and for swine flu you need oinkment,1
43,4082548709,Hard to tell if H1N1 is something to worry about or just another public freakout focus. Is this really any different than the flu we know?,1
44,4082645802,,1
45,4083251103,,1
46,4083696105,@QNeAuX aww man u got a case of the bird-flu too? Lol u ok?,0
47,4084559909,,0
48,4085138801,"@kellyOJD fiew, no mexican flu, phoe I was worried!! xD ieg, I heard a part of mi rowsu!!",1
49,4086171811,,1
50,3680445400,@no_crybaby_doGs I fink I haz bird flu. I have urge to poopz on a windshield.,0
51,3680750207,,0
52,3681565813,,0
53,3681897500,I think I'm getting the flu or something I feel sick everywhere.,0
54,3682129801,,0
55,3684664704,,0
56,3685752207,,1
57,3686273411,,0
58,3686751301,,1
59,3687121211,"Kind of glad I'm not on that trip with my school.. I think I'm getting the flu, AND it'll probably start to rain outside. Poor classmates!",0
60,3687507511,"Thinks he's getting sick, beghining of an horrible flu",0
61,3687632308,I have chills fever sore throat diarrhea & im vomitting. Do i have swine flu? Should i go to doctor? Shit im scared.,0
62,3687913301,Any people that work with children concerned about flu outbreaks? What are you doing to prepare?,1
63,3688159108,,1
64,3688374700,,0
65,3688586006,"Let me re-phrase my H1N1 flu concern: You might stay home if you got sick, but in this economy, lots of people won't.",1
66,3689094409,,1
67,3689611105,@amjones05 seriously!? Are you joking? Swine flu!? I am afraid to go to work.,1
68,3690357207,WHY? Why are people getting offended b/c you don't want to shake their hand. Don't they know the SWINE FLU is lurking?,1
69,3691758613,Man this flu is crazy...everyone is getting sick all of the sudden.  My sister is home with it and Im trying not to get it. No good :-(,0
70,3693053812,High risk groups should consider getting flu vaccinations. Log on to learn if you are in a high risk group http://bit.ly/1x5aLe,1
71,3693368803,,0
72,3693604400,@markknoller Concerned with Swine Flu? http://tiny.cc/8DLC1 Order Info:Distrib Name C Eden ID# 6754618,1
73,3694155406,,0
74,3694402205,,0
75,3695331304,,0
76,3695985706,,1
77,3696469210,"It's weird watching the media ""doctors"" talk about the safety of getting the swine flu vaccine. You can tell they are being paid to lie!",1
78,3696733611,I feeeel like shit today...I think everyone in my school is getting swine flu. Its a problem.,0
79,3696960310,,1
80,3697399811,Never took swine flu very seriously. But school now orders us make sure to wash hands and will oversee free vaccinations. Should I worry? :S,1
81,3698405201,,1
82,3698710008,,0
83,3698883604,"RT @barbaragancia: Saudi Arabia man suspectd 2 b dual infected with bird and swine flu. Só falta ele começar a cantar: ""Ouviram do Ipira ...",0
84,3699898010,Getting dangerously close to completing the second draft of Morpheus #1...slowed down a bit by the flu.,0
85,3700429610,"@Japanator I should've clarified: the concern was the swine flu H1N1, not avian  =/  But the latest news says it's normal flu, I think",1
86,3701113107,"Getting new hair tonight- yay! well a new style- im excited, Kelsey said i have 2 wear one of those swine flu masks so i dont get her sick!!",1
87,3701237009,,0
88,3701697706,,0
